URL,Text,Links,Image URLS,Image Alt Text,Tags
"http://theartofgooglebooks.tumblr.com/post/102913798985/illustration-photographed-through-tissue-the
","Illustration photographed through tissue.
The frontispiece to The Golden ThresholdÃ¥Ã_by Sarojini Naidu (1905). Original from the University of Michigan. Digitized November 20, 2006.",['http://books.google.com/books?id=XM8fAAAAMAAJ&dq=golden&pg=PP10#v=onepage&q&f=false'],['http://36.media.tumblr.com/c95b6356fed69c0f82ab0b6ecb67bdb8/tumblr_nf1kba2pKq1qixa76o1_500.png'],"['Illustration photographed through tissue.\nThe frontispiece to The Golden Threshold\xa0by Sarojini Naidu (1905). Original from the University of Michigan. Digitized November 20, 2006.']","['#Google Books', '#digitization', '#art', '#lit', '#tech', '#books', '#vintage', '#tissue', '#obscured', '#ghostly', '#used books', '#old books', '#rare books', '#book art', '#book arts', '#libraries', '#photography', '#new media', '#digital art']"
"http://theartofgooglebooks.tumblr.com/post/102913791170/blue-links-from-the-table-of-contents-of-golden
","Blue links.
From the table of contents of Golden Remains of the Ever Memorable Mr. John Hales (1711). Original from Ghent University. Digitized January 16, 2008.",['http://books.google.com/books?id=ERsPAAAAQAAJ&dq=golden&pg=PR20#v=onepage&q&f=false'],['http://41.media.tumblr.com/52365f73810c55476b69aa1f94367cd8/tumblr_nf1lblHNCU1qixa76o1_500.png'],"['Blue links.\nFrom the table of contents of Golden Remains of the Ever Memorable Mr. John Hales (1711). Original from Ghent University. Digitized January 16, 2008.']","['#Google Books', '#digitization', '#art', '#lit', '#tech', '#books', '#vintage', '#blue links', '#hyperlinks', '#links', '#table of contents', '#sermons', '#used books', '#old books', '#rare books', '#book art', '#book arts', '#library', '#libraries', '#photography', '#new media', '#digital art']"
"http://theartofgooglebooks.tumblr.com/post/102913785475/ink-drips-from-p-52-53-of-%C3%A0-la-california
","Ink drips.
From p. 52-53 of ÃŒÃ› la California: Sketches of Life in the Golden State by Albert S. Evans (1873). Original from the University of California. Digitized October 16, 2007.",['http://books.google.com/books?id=I4lCAAAAIAAJ&dq=golden&pg=PA53#v=twopage&q&f=false'],['http://40.media.tumblr.com/90eb2f4d9b4a9e4add3623b7c5e71720/tumblr_nf1lt2ozqs1qixa76o1_500.png'],"['Ink drips.\nFrom p. 52-53 of \xc0 la California: Sketches of Life in the Golden State by Albert S. Evans (1873). Original from the University of California. Digitized October 16, 2007.']","['#Google Books', '#digitization', '#art', '#lit', '#tech', '#books', '#vintage', '#California', '#ink', '#drips', '#stains', '#used books', '#old books', '#rare books', '#book art', '#book arts', '#library', '#libraries', '#photography', '#new media', '#digital art']"
"http://theartofgooglebooks.tumblr.com/post/102913780040/child-painted-illustrations-throughout-alnomuc
","Child-painted illustrations.
Throughout Alnomuc: or, The Golden Rule by John H. Amory (1837). Original from the New York Public Library. Digitized May 18, 2007.",['http://books.google.com/books?id=JmsCAAAAYAAJ&dq=golden&pg=PA46-IA1#v=onepage&q&f=false'],"['http://41.media.tumblr.com/4f0d77457d2b1da2924f928873992eb1/tumblr_nf1lztkTBU1qixa76o3_500.png', 'http://41.media.tumblr.com/7d448c50903987d03c00dd1d49688e81/tumblr_nf1lztkTBU1qixa76o2_500.png', 'http://36.media.tumblr.com/b44496930b649cb6999b958df86fd27c/tumblr_nf1lztkTBU1qixa76o1_500.png']","['', '', '']","['#Google Books', '#digitization', '#art', '#lit', '#tech', '#books', '#vintage', '#children', u""#children's literature"", u'#painting', '#coloring books', '#used books', '#old books', '#rare books', '#book art', '#book arts', '#library', '#libraries', '#photography', '#new media', '#digital art']"
"http://theartofgooglebooks.tumblr.com/post/102538473025/bookplate-with-accoutrement-from-the-front
","Bookplate with accoutrement.
From the front matter of La RÃŒÂ¬gle de l'ÃŒÃ_troite Observance de Sainte Claire Avec les Constitutions (1733). Original from the Lyon Public Library. Digitized November 2, 2010.Ã¥Ã_",['http://books.google.com/books?id=1afC5i42l7wC&dq=claire&pg=PP2#v=onepage&q&f=false'],['http://40.media.tumblr.com/ffbcd5d86d48cb667d282757f3197e42/tumblr_nezjhb38gO1qixa76o1_500.png'],"[""Bookplate with accoutrement.\nFrom the front matter of La R\xe8gle de l'\xc9troite Observance de Sainte Claire Avec les Constitutions (1733). Original from the Lyon Public Library. Digitized November 2, 2010.\xa0""]","['#Google Books', '#digitization', '#art', '#lit', '#tech', '#books', '#vintage', '#bookplate', '#deus meus et omnia', '#thorns', '#lilies', '#handwriting', '#marginalia', '#writing in books', '#stamps', '#library stamps', '#used books', '#old books', '#rare books', '#book art', '#book arts', '#library', '#libraries', '#photography', '#new media', '#digital art']"
"http://theartofgooglebooks.tumblr.com/post/102538468270/circulation-slip-with-checkouts-between-1916-and
","Circulation slip with checkouts between 1916 and 1952.Ã¥Ã_
From the back matter of Marie-Claire by Marguerite Audoux (1911). Original from the University of California. Digitized November 13, 2007.",['http://books.google.com/books?id=FWVEAAAAIAAJ&dq=claire&pg=PA214#v=onepage&q&f=false'],['http://40.media.tumblr.com/31dd221f784c05b4337ceed5d9acc5cc/tumblr_nezilmEoa41qixa76o1_500.png'],"['Circulation slip with checkouts between 1916 and 1952.\xa0\nFrom the back matter of Marie-Claire by Marguerite Audoux (1911). Original from the University of California. Digitized November 13, 2007.']","['#Google Books', '#digitization', '#art', '#lit', '#tech', '#books', '#vintage', '#circulation slips', '#ephemera', '#library ephemera', '#stamps', '#library stamps', '#circulation slip', '#used books', '#old books', '#rare books', '#book art', '#book arts', '#library', '#libraries', '#photography', '#new media', '#digital art']"
"http://theartofgooglebooks.tumblr.com/post/102538462660/library-stamps-1-2-3-4-5-6-7-8-9
","Library stamps (1, 2, 3, 4, 5, 6, 7, 8, 9).","['http://books.google.com/books?id=p3-HEZn7JFwC&dq=claire&pg=PP5#v=onepage&q&f=false', 'http://books.google.com/books?id=yPk9JULk6iQC&dq=claire&pg=PP8#v=onepage&q&f=false', 'http://books.google.com/books?id=1afC5i42l7wC&dq=claire&pg=PA2#v=onepage&q&f=false', 'http://books.google.com/books?id=0bYUAAAAQAAJ&dq=claire&pg=PP6#v=onepage&q&f=false', 'http://books.google.com/books?id=bs8L2hMzV6IC&dq=claire&pg=PP5#v=onepage&q&f=false', 'http://books.google.com/books?id=p1BRAAAAYAAJ&dq=code&pg=PP5#v=onepage&q&f=false', 'http://books.google.com/books?id=15oFAAAAQAAJ&dq=claire&pg=PP10#v=onepage&q&f=false', 'http://books.google.com/books?id=mDMOAAAAYAAJ&dq=macon&pg=PP2#v=onepage&q&f=false', 'http://books.google.com/books?id=KGIHAAAAQAAJ&dq=claire&pg=PP10#v=onepage&q&f=false']","['http://41.media.tumblr.com/ee955833f224f60cb30cd1a35886614d/tumblr_nel1d7yIft1qixa76o5_r1_250.png', 'http://36.media.tumblr.com/027b68710a5bef97420b7b9c38b476fd/tumblr_nel1d7yIft1qixa76o4_r1_250.png', 'http://40.media.tumblr.com/ff161540d17eda6c3723cdfed9e9e8ae/tumblr_nel1d7yIft1qixa76o6_r1_500.png', 'http://41.media.tumblr.com/02c2adf706218137f8d219690a241a45/tumblr_nel1d7yIft1qixa76o8_r1_250.png', 'http://40.media.tumblr.com/b091ae227f0cfd91d3d0cd15165af943/tumblr_nel1d7yIft1qixa76o3_r1_250.png', 'http://41.media.tumblr.com/f4b60736196f07b4248c0149271085c6/tumblr_nel1d7yIft1qixa76o9_r1_500.png', 'http://41.media.tumblr.com/1691d46d205aad1137b22e4c049dceb7/tumblr_nel1d7yIft1qixa76o2_r2_250.png', 'http://40.media.tumblr.com/cc44b916297286c224b3687ad55e8287/tumblr_nel1d7yIft1qixa76o1_250.png', 'http://40.media.tumblr.com/b52f2b2d79608861976443fbefdad69d/tumblr_nel1d7yIft1qixa76o7_r2_250.png']","['1', '2', '3', '4', '5', '6', '7', '8', '9']","['#Google Books', '#digitization', '#art', '#lit', '#tech', '#books', '#vintage', '#stamps', '#library stamps', '#ink', '#used books', '#old books', '#rare books', '#book art', '#book arts', '#library', '#libraries', '#photography', '#new media', '#digital art']"
"http://theartofgooglebooks.tumblr.com/post/102538456855/bookplate-visible-through-torn-page-from-the
","Bookplate visible through torn page.
From the front matter of La Circe con Otras Rimas y Prosas by Felix Lope de Vega Carpio (1624). Original from the Austrian National Library. Digitized June 25, 2014.",['http://books.google.com/books?id=CLxdAAAAcAAJ&dq=wendigo&pg=PP4#v=onepage&q&f=false'],['http://41.media.tumblr.com/2de509b2dc106299cc32119114c5ccbd/tumblr_nezlfripXh1qixa76o1_500.png'],"['Bookplate visible through torn page.\nFrom the front matter of La Circe con Otras Rimas y Prosas by Felix Lope de Vega Carpio (1624). Original from the Austrian National Library. Digitized June 25, 2014.']","['#Google Books', '#digitization', '#art', '#lit', '#tech', '#books', '#vintage', '#ripped', '#torn', '#hole', '#found poetry', '#found poem', '#bookplate', '#used books', '#old books', '#rare books', '#book art', '#book arts', '#library', '#libraries', '#photography', '#new media', '#digital art']"
"http://theartofgooglebooks.tumblr.com/post/102240403325/illustration-photographed-through-folded-tissue
","Illustration photographed through folded tissue.
From p. 54-55 of â€°Ã›ÃèThe Eagleâ€°Ã›Âªs Nestâ€°Ã›Âù in the Valley of Sixt by Sir Alfred Wills (1860).Original from Oxford University. Digitized June 15, 2006.",['http://books.google.com/books?id=oDoBAAAAQAAJ&dq=nest&pg=PA54-IA4#v=onepage&q&f=false'],['http://40.media.tumblr.com/24f5ddbd77244f304c770b2e583c34d8/tumblr_ness0b7Pnc1qixa76o1_500.png'],"['Illustration photographed through folded tissue.\nFrom p. 54-55 of &ldquo;The Eagle&rsquo;s Nest&rdquo; in the Valley of Sixt by Sir Alfred Wills (1860).Original from Oxford University. Digitized June 15, 2006.']","['#Google Books', '#digitization', '#art', '#lit', '#tech', '#books', '#vintage', '#mountain', '#vista', '#landscape', '#tissue', '#obscured', '#folded', '#used books', '#old books', '#rare books', '#book art', '#book arts', '#library', '#libraries', '#photography', '#new media', '#digital art']"
"http://theartofgooglebooks.tumblr.com/post/102240392555/illustration-left-folded-from-p-232-33-of-the
","Illustration left folded.
From p. 232-33 of The Madras Journal of Literature and Science (1839). Original from Oxford University. Digitized November 10, 2006.",['http://books.google.com/books?id=HvgEAAAAQAAJ&dq=dunes&pg=PA232-IA2#v=onepage&q&f=false'],['http://41.media.tumblr.com/87165fc991b77cc4d0fd0fee4dee9bab/tumblr_nesws7opsv1qixa76o1_500.png'],"['Illustration left folded.\nFrom p. 232-33 of The Madras Journal of Literature and Science (1839). Original from Oxford University. Digitized November 10, 2006.']","['#Google Books', '#digitization', '#art', '#lit', '#tech', '#books', '#skull', '#bones', '#horns', '#folded', '#obscured', '#used books', '#old books', '#rare books', '#book art', '#book arts', '#library', '#libraries', '#photography', '#new media', '#digital art']"
